"JOLA" "MANJAGO" "SEREHULE" "SERERE" "WOLLOF" "MANDINKAI" "MANDINKAII" "FULAI" "FULAII" "BAMBARA" "MALINKE" "MOSSI" "AKANS" "KASEM" "NAMKAM" "YRI" "BANTU" "SEMI.BANTU" "MALAWI" "LWK" "CHONYI" "KAUMA" "KAMBE" "GIRIAMA" "MZIGUA" "WABONDEI" "WASAMBAA" "MKK" "SUDANESE" "SOMALI" "ANUAK" "GUMUZ" "ARI" "AFAR" "TYGRAY" "AMHARA" "WOLAYTA" "OROMO" "SWBANTU" "NAMA" "SEBANTU" "AMAXHOSA" "KARRETJIE" "KHOMANI" "KHWE" "XUN" "GUIGHANAKGAL" "JUHOAN" "FIN" "CEU" "GBR" "IBS" "TSI" "GIH" "KHV" "CDX" "CHB" "CHS" "JPT" "PELII"
"BANTU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.424367293342137 0 0 0.221027264526875 0.122967982915552 0 0 0.0256302471338466 0 0.07357044857417 0.0639593104573834 0 0 0 0 0 0 0 0 0 0 0 0 0.0354823442645916 0 0 0.015762075440662 0 0 0.0172330333447824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SEMI.BANTU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.352517623707207 0.53275771547174 0 0.0635035690015165 0.0264665103019536 0 0 0 0 0.0247545815175829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MALAWI" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0551601595807291 0.0881040414516262 0 0.049575138012386 0.0196129517147937 0.0319740724059094 0.0355007369886319 0.0542917661081547 0.352334709759597 0.231764305205336 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0816821187728358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LWK" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0212180261993416 0.108630495493592 0.14489694683863 0.401831849608301 0 0 0.0365363511158059 0 0 0 0 0 0.0895112950197844 0.0319867807893756 0 0.122686261464023 0 0 0 0 0 0 0.0250745262352638 0.0176274672358818 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHONYI" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.016242496721249 0 0.183915698598955 0 0 0.756707945218691 0.0199552797045743 0.01166407911086 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0115145006456705 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KAUMA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0550523474801321 0 0.536011248985103 0 0 0.408936403534765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KAMBE" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138515659121303 0 0.113288533703122 0 0.150818880337011 0 0 0.688799234288323 0 0 0 0.0111782693704222 0 0 0 0 0 0 0 0 0 0 0 0 0.022063516388992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GIRIAMA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0177668714986196 0.0133679853806474 0.183289357899458 0 0 0.580182889293483 0.184487013548312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0209058823794805 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MZIGUA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014924019875121 0.0135673344530035 0.0302982283407598 0.245503415873861 0 0.0793254215022314 0.0251611055159507 0 0.36545484044672 0 0.179948925992697 0.0338722484407256 0.0119444595589292 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"WABONDEI" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0137755775423945 0.0118817071953802 0.157603929114579 0 0 0 0.0232869447855845 0.175931182955096 0.482543850546087 0 0.107334290025613 0.0144575921815438 0 0 0 0 0 0 0 0 0 0 0 0 0.0131849256537219 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"WASAMBAA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166509654305956 0.0874120700589535 0 0 0.0115983072292984 0 0.495006014958864 0.336819255563943 0 0 0.0216442699640526 0 0 0 0 0 0 0 0 0.0130588529818837 0.0178102638124093 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MKK" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22400731293761 0 0 0.0166886622636407 0 0.0289926059111865 0 0.0813828358963824 0 0 0.340250957404629 0.0614425505840976 0 0.231984830418267 0 0 0 0 0 0 0.015250244584187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SUDANESE" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0401857246571792 0 0 0 0 0 0 0 0 0 0 0.959814275342821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SOMALI" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0241219421039722 0.163416558533635 0 0 0.0367278412381162 0 0.0643546932047668 0.71137896491951 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ANUAK" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0165066145732595 0 0 0 0 0 0 0 0 0.973077597469915 0.0104157879568258 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
