"JOLA" "WOLLOF" "MANDINKAI" "MANDINKAII" "SEREHULE" "FULAI" "MALINKE" "SERERE" "MANJAGO" "FULAII" "BAMBARA" "AKANS" "MOSSI" "YRI" "KASEM" "NAMKAM" "SEMI-BANTU" "BANTU" "LWK" "KAMBE" "CHONYI" "KAUMA" "WASAMBAA" "GIRIAMA" "WABONDEI" "MZIGUA" "MKK" "WOLAYTA" "SOMALI" "ARI" "SUDANESE" "GUMUZ" "OROMO" "AMHARA" "AFAR" "ANUAK" "TYGRAY" "MALAWI" "SEBANTU" "AMAXHOSA" "SWBANTU" "KHWE" "GUIGHANAKGAL" "KARRETJIE" "NAMA" "XUN" "KHOMANI" "JUHOAN" "FIN" "CEU" "GBR" "IBS" "TSI" "GIH" "KHV" "CDX" "CHB" "CHS" "JPT" "PELII"
"JOLA.main.1" 0 0 0 0 0 0 0 0 0 0 0 0 0.553315725157737 0 0.0292092058553658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.417475068986897 0 0 0 0 0 0 0 0 0
"JOLA.main.2" 0 0 0 0 0 0 0 0 0 0 0 0.215866679465224 0.161511381111336 0.0878012378392388 0.123177400534392 0 0.0846712473960089 0.0327565378012398 0.0217820527639572 0 0.00389390933181865 0.00661916840497739 0.00633982189403794 0.00559538875968105 0 0 0.0139471042019876 0 0.0150864241912094 0.0158394461257807 0.0300401248748171 0.0226139719222422 0 0 0 0.0641301253221425 0 0.0403417709195442 0 0 0 0 0.015186506957679 0 0 0.00908448356394754 0 0.00934042250845746 0 0 0 0 0 0 0 0.00844564498243997 0 0 0.0059291491278402 0
"JOLA.main.3" 0 0 0 0 0 0 0 0 0 0 0 0.160055844088388 0.272816397763216 0 0.0946174448831211 0 0.051052179356829 0.0576700304560576 0.0314792810982018 0 0 0 0 0 0 0 0.00777922989106848 0 0.0323425671837339 0.0131015022286047 0.0751531204935473 0.0194142054480764 0 0 0.00676540473823121 0.0296943275765538 0 0.0767896983610276 0 0.00602972465508036 0 0 0.00797868558385403 0 0 0 0 0.013365618474485 0 0 0 0.0121464163639387 0 0.00533121058610887 0 0 0 0 0.0249501901511184 0.00146692061875747
"JOLA.main.4" 0 0 0 0 0 0 0 0 0 0 0 0.24275577886779 0.271160592036776 0.145074360341013 0.0379845699803856 0.066091670951306 0.0390058624983084 0 0 0 0.0144425297415507 0.0106985338020067 0 0.0215799060204467 0 0 0.00354573613444924 0 0 0 0 0.00011044914342564 0 0.0441111643662052 0 0.0473058712486926 0 0 0 0 0 0 0 0 0 0.0145345453586512 0 0 0.00257256298041414 0 0 0.0213356296491806 0 0 0 0.017690236879399 0 0 0 0
"JOLA.main.5" 0 0 0 0 0 0 0 0 0 0 0 0.313895635720041 0.171213181327931 0.100663626568406 0.0102209355727617 0.0771292044328975 0 0.0281616469602912 0.0626368202323946 0 0.028875604600224 0 0 0.022739001735061 0 0 0 0 0.0155706713843855 5.26471564812385e-05 0.00525814062048644 0 0 0 0 0.115296630469151 0 0 0 0 0 0 0.00856313483444955 0 0 0 0 0.00753750055961193 0.0206966269848759 0 0 0 0 0 0 0.0062018534140405 0 0 0.00528713742651041 0
"JOLA.main.6" 0 0 0 0 0 0.0454189936031519 0 0 0 0 0 0.1397890424922 0.343690693033158 0 0.102845498417836 0 0.113308566837104 0.0169879192892459 0 0 0 0 0 0 0 0 0.0249975277814062 0 0.00163467316896338 0.0077347447817272 0.022541679804995 0.0257809373866095 0 0.038237362934474 0.0033355631031136 0 0 0.0451254428711702 0 0 0 0.00516381832106756 0 0 0 0.00459489361234507 0.0010222359583991 0 0 0 0 0.0387871881571773 0 0.0100908672599756 0.00253491761546756 0 0 0.00394966631045146 0 0.00242776725996136
"JOLA.main.7" 0 0 0 0 0 0 0 0 0 0 0 0 0.498335042967713 0 0.0566537092063788 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.445011247825908 0 0 0 0 0 0 0 0 0
"JOLA.main.8" 0 0 0 0 0 0 0 0 0 0 0 0.212960066193243 0.173218783704315 0.088338129551412 0.116587461130354 0 0.0836622280901582 0.032181286710509 0.0212200128555661 0 0.00356234512576635 0.00673724823300668 0.00559339329178133 0.005021605542046 0 0 0.0139632709923407 0 0.0147898806867969 0.0164694773554906 0.0305401382920576 0.0247191839254516 0 0 0 0.0628736554677283 0 0.0403919717417756 0 0 0 0 0.0155301932338908 0 0 0.0089079792764355 0 0.00915087193399582 0 0 0 0 0 0 0 0.0080062986291714 0 0 0.0055745180367076 0
"WOLLOF.main.1" 0 0 0 0 0 0 0 0 0 0 0 0 0.42236907198386 0 0.016019446316615 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0329816879247727 0 0.528629793774752 0 0 0 0 0 0 0 0 0
"WOLLOF.main.2" 0 0 0 0 0 0 0 0 0 0 0 0.201164346790649 0.227555896825891 0.0946629317111944 0.0709189967397062 0.0462987757014685 0.0705542374452798 0.0268979059917702 0.0160875960420994 0 0.00170639681929377 0.00568042300272129 0.00798844008077684 0.00501387438963795 0 0.00768977005716986 0.0106972119887706 0 0.0147609468928774 0.00984182933428431 0.0265754666705766 0.0170802681667109 0 0 0 0.0651956328948977 0 0.0252407027790801 0 0.00718137686239296 0 0.00907863381243066 0.0128916789212265 0 0 0.00446100707911826 0 0.0051031426432022 0 0 0 0 0 0 0 0.00666756184695722 0 0 0.00300494850981655 0
"WOLLOF.main.3" 0 0 0 0 0 0 0 0 0 0 0 0.229946167346441 0.298034050200381 0.134130003275059 0 0.119007370312864 0 0.0183792640899883 0 0 0.0245430649298661 0.00314415619139389 0.00869055032190217 0.00567338876405269 0 0 0.00496468577811856 0 0 0 0.0221251205579695 0.000458200602668164 0 0.0109090275252561 0.0053080705378244 0.0253432753284989 0.0316928623176923 0 0 0 0 0.00424239249414421 0 0 0 0.000599658513027633 0.00343858845207214 0 0 0 0 0.0339814607541301 0 0.0073899036080141 0.00179459143796701 0 0 0.00501915489273945 0 0.00118499176793058
"WOLLOF.main.4" 0 0 0 0 0 0.101513639985771 0 0 0 0 0 0.168406450023241 0.25200592478943 0 0.0251109712574517 0.052776647000348 0.110215176097962 0.0213631848063795 0.0169504609257223 0 0 0 0 0 0 0 0.00464658684390605 0 0.0143789666105913 0.00701071665277741 0.0134871676845035 0.0113312291605664 0.0327779779972563 0 0 0.0698846317652819 0.00482467777384654 0.0453195597048239 0 0.0104476312750997 0.00422415851129856 0 0.000691026244236435 0.0013188977572918 0 0 0 0.00541103758563396 0 0 0 0.0107929660761847 0 0 0.00311649076244441 0.00195371475351595 0 0.00602373707168687 0.00401637088274865 0
"WOLLOF.main.5" 0 0 0 0 0 0 0 0 0 0 0 0.221017531982863 0.447245178240123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0035547685862419 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0102003706184149 0 0.0455431940380122 0.259112563292691 0.0022671439933255 0.0110592492483287 0 0 0 0 0 0
"WOLLOF.main.6" 0 0 0 0 0 0 0 0 0 0 0 0.174640885565249 0.234553677899619 0.0825638804851358 0.0494497319649328 0.0896590382711178 0.0764165455476794 0.0299212939928908 0.019666404086298 0 0.00310189273404725 0.00451715110240696 0.0115157067749223 0.00818121469565871 0 0.0138066755047228 0.0131301777204062 0 0.0208174414964735 0.00832472535926334 0.017356978808245 0.0119258842620357 0 0 0 0.0518702572364075 0 0.0159040299101746 0 0.0169622866344278 0 0.0102054198179132 0.00862262862748434 0 0 0.00578342762052815 0 0.00550336100430285 0 0 0 0 0 0 0 0.00581718993144384 0 0.00411299708364091 0.00566909586257226 0
"WOLLOF.main.7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.184237833575036 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0605256104623731 0 0.755236555962591 0 0 0 0 0 0 0 0 0
