"Cluster" "Analysis" "pval" "Result" "max.R1." "FQ1" "FQ2" "maxScore2ev" "date.1D" "Date.CI" "alpha" "best.source1" "best.source2" "alpha2" "best.source1.ev2" "best.source2.ev2" "date.2D.1" "Date2a.CI" "alpha2.date1" "best.source1.date1" "best.source2.date1" "date.2D.2" "Date2b.CI" "alpha2.date2" "best.source1.date2" "best.source2.date2"
"186" "JOLAJUHOAN300g95p" "ancient" "1" "1MW(2D)" "0.704" "0.921" "0.999" 0.63 "1376" NA "0.49" "MANJAGO" "MANJAGO" "0.48" "MANJAGO" "MANJAGO" "1637" NA "0.41" "SERERE" "MANJAGO" "1336B" NA "0.23" "MANJAGO" "MANJAGO"
"122" "JOLAMALAWI100g80p" "ancient" "1" "1MW(2D)" "0.752" "0.953" "0.999" 0.43 "972" NA "0.45" "SERERE" "SERERE" "0.37" "MANJAGO" "SERERE" "1525" NA "0.3" "SERERE" "SERERE" "226" NA "0.46" "SEMI.BANTU" "SERERE"
"139" "JOLAMALAWI400g80p" "main" "1" "1D" "0.811" "0.998" "0.999" 0.05 "1770" NA "0.2" "MANJAGO" "SERERE" "0.46" "SERERE" "SERERE" "1797" NA "0.22" "MANJAGO" "SERERE" "446B" NA "0.39" "MANJAGO" "SERERE"
"23" "JOLACEU400g95p" "main" "1" "1D" "0.781" "0.999" "1" 0.04 "1769" NA "0.41" "MANJAGO" "WOLLOF" "0.48" "MANJAGO" "WOLLOF" "1791" NA "0.41" "MANJAGO" "WOLLOF" "686" NA "0.47" "MANJAGO" "MANJAGO"
"189" "JOLAJUHOAN400g90p" "main" "1" "1D" "0.807" "0.992" "0.997" 0.04 "1768" NA "0.28" "MANJAGO" "MANJAGO" "0.39" "MANJAGO" "MANJAGO" "1788" NA "0.29" "MANJAGO" "MANJAGO" "1184B" NA "0.45" "MANJAGO" "MANJAGO"
"177" "JOLAJUHOAN200g90p" "main" "1" "1MW(2D)" "0.825" "0.91" "1" 0.69 "1764" NA "0.38" "MANJAGO" "MANJAGO" "0.38" "MANJAGO" "MANJAGO" "1791" NA "0.4" "MANJAGO" "MANJAGO" "4169B" NA "0.13" "XUN" "MANJAGO"
"17" "JOLACEU300g95p" "main" "1" "1D" "0.803" "0.999" "1" 0.26 "1763" NA "0.35" "MANJAGO" "WOLLOF" "0.49" "MANJAGO" "WOLLOF" "1788" NA "0.36" "MANJAGO" "WOLLOF" "1714B" NA "0.31" "FULAI" "MANJAGO"
"135" "JOLAMALAWI300g90p" "main" "1" "1D" "0.842" "0.998" "1" 0.08 "1762" NA "0.26" "MANJAGO" "SERERE" "0.42" "SERERE" "SERERE" "1797" NA "0.27" "MANJAGO" "SERERE" "316" NA "0.39" "SERERE" "SERERE"
"187" "JOLAJUHOAN400g80p" "main" "1" "1D" "0.81" "0.984" "0.999" 0.12 "1760" NA "0.27" "MANJAGO" "MANJAGO" "0.49" "MANJAGO" "MANJAGO" "1796" NA "0.26" "MANJAGO" "MANJAGO" "385B" NA "0.47" "MANJAGO" "MANJAGO"
"191" "JOLAJUHOAN400g95p" "main" "1" "1D" "0.797" "0.997" "0.999" 0.07 "1759" NA "0.31" "MANJAGO" "MANJAGO" "0.39" "MANJAGO" "MANJAGO" "1804" NA "0.29" "MANJAGO" "MANJAGO" "243" NA "0.44" "MANJAGO" "MANJAGO"
"143" "JOLAMALAWI400g95p" "main" "1" "1D" "0.854" "0.999" "1" 0.05 "1759" NA "0.29" "MANJAGO" "SERERE" "0.49" "MANJAGO" "SERERE" "1787" NA "0.29" "MANJAGO" "SERERE" "28" NA "0.49" "SERERE" "MANJAGO"
"183" "JOLAJUHOAN300g90p" "main" "1" "1MW" "0.758" "0.875" "0.998" 0.24 "1759" NA "0.23" "MANJAGO" "MANJAGO" "0.45" "MANJAGO" "MANJAGO" "1788" NA "0.23" "MANJAGO" "MANJAGO" "2231B" NA "0.29" "MANJAGO" "MANJAGO"
"137" "JOLAMALAWI300g95p" "main" "1" "1D" "0.856" "1" "1" 0.05 "1754" NA "0.25" "MANJAGO" "SERERE" "0.48" "MANJAGO" "SERERE" "1774" NA "0.28" "MANJAGO" "SERERE" "107" NA "0.39" "SERERE" "MANJAGO"
"131" "JOLAMALAWI200g95p" "main" "1" "1D" "0.849" "0.998" "1" 0.09 "1752" NA "0.21" "MANJAGO" "SERERE" "0.26" "SERERE" "SERERE" "1790" NA "0.22" "MANJAGO" "SERERE" "66B" NA "0.4" "MANJAGO" "SERERE"
"133" "JOLAMALAWI300g80p" "main" "1" "1D" "0.838" "0.989" "0.999" 0.06 "1751" NA "0.2" "MANJAGO" "SERERE" "0.39" "SERERE" "SERERE" "1793" NA "0.27" "MANJAGO" "SERERE" "705" NA "0.4" "SERERE" "SERERE"
"129" "JOLAMALAWI200g90p" "main" "1" "1D" "0.839" "0.996" "0.999" 0.1 "1751" NA "0.2" "MANJAGO" "SERERE" "0.43" "SERERE" "SERERE" "1786" NA "0.22" "MANJAGO" "SERERE" "638B" NA "0.36" "SERERE" "SERERE"
"141" "JOLAMALAWI400g90p" "main" "1" "1D" "0.812" "0.999" "0.999" 0.07 "1750" NA "0.35" "MANJAGO" "SERERE" "0.49" "MANJAGO" "SERERE" "1776" NA "0.39" "MANJAGO" "SERERE" "650B" NA "0.27" "MANJAGO" "SERERE"
"181" "JOLAJUHOAN300g80p" "main" "1" "1MW" "0.826" "0.915" "0.999" 0.22 "1749" NA "0.3" "MANJAGO" "MANJAGO" "0.46" "MANJAGO" "MANJAGO" "1773" NA "0.28" "MANJAGO" "MANJAGO" "3425B" NA "0.27" "XUN" "MANJAGO"
"185" "JOLAJUHOAN300g95p" "main" "1" "1D" "0.802" "0.988" "0.999" 0.15 "1739" NA "0.3" "MANJAGO" "MANJAGO" "0.5" "MANJAGO" "MANJAGO" "1776" NA "0.31" "MANJAGO" "MANJAGO" "1036B" NA "0.37" "MANJAGO" "MANJAGO"
"127" "JOLAMALAWI200g80p" "main" "1" "1MW" "0.844" "0.967" "0.999" 0.1 "1736" NA "0.17" "MANJAGO" "SERERE" "0.45" "SERERE" "SERERE" "1761" NA "0.19" "MANJAGO" "SERERE" "1165B" NA "0.45" "SERERE" "SERERE"
"125" "JOLAMALAWI100g95p" "main" "1" "1D" "0.868" "0.989" "1" 0.21 "1732" "(1702-1762)" "0.2" "MANJAGO" "SERERE" "0.43" "SERERE" "MANJAGO" "1775" "(1747-1805)" "0.22" "MANJAGO" "SERERE" "666B" "(1621B-56)" "0.4" "SERERE" "MANDINKAI"
"123" "JOLAMALAWI100g90p" "main" "1" "2D" "0.833" "0.976" "0.999" 0.46 "1726" "(1686-1757)" "0.22" "MANJAGO" "SERERE" "0.3" "MANJAGO" "SERERE" "1793" "(1763-1834)" "0.24" "MANJAGO" "SERERE" "878B" "(1479B-156)" "0.31" "SEMI.BANTU" "MANJAGO"
"179" "JOLAJUHOAN200g95p" "main" "1" "1MW(2D)" "0.824" "0.889" "1" 0.6 "1720" NA "0.26" "MANJAGO" "MANJAGO" "0.25" "MANJAGO" "MANJAGO" "1758" NA "0.25" "MANJAGO" "MANJAGO" "1711B" NA "0.11" "XUN" "MANJAGO"
"175" "JOLAJUHOAN200g80p" "main" "1" "1MW(2D)" "0.851" "0.965" "1" 0.71 "1714" NA "0.42" "MANJAGO" "MALINKE" "0.37" "MANJAGO" "MALINKE" "1842" NA "0.26" "MANJAGO" "MALINKE" "3096B" NA "0.23" "XUN" "MANJAGO"
"138" "JOLAMALAWI300g95p" "ancient" "1" "1D" "0.646" "0.998" "0.999" 0.06 "1707" NA "0.27" "MANJAGO" "SERERE" "0.49" "SERERE" "MANJAGO" "1700" NA "0.32" "MANJAGO" "SERERE" "786" NA "0.44" "MANJAGO" "MANJAGO"
"11" "JOLACEU200g95p" "main" "1" "1D(2D)" "0.8" "0.992" "1" 0.75 "1702" NA "0.4" "MANJAGO" "WOLLOF" "0.36" "MANJAGO" "WOLLOF" "1826" NA "0.33" "MANJAGO" "WOLLOF" "1424B" NA "0.16" "IBS" "SERERE"
"144" "JOLAMALAWI400g95p" "ancient" "1" "1D" "0.705" "0.998" "0.999" 0.06 "1676" NA "0.34" "MANJAGO" "SERERE" "0.49" "MANJAGO" "MANJAGO" "1605" NA "0.4" "MANJAGO" "SERERE" "636" NA "0.49" "MANJAGO" "SERERE"
"134" "JOLAMALAWI300g80p" "ancient" "1" "1MW(2D)" "0.658" "0.967" "0.997" 0.38 "1643" NA "0.26" "MANJAGO" "SERERE" "0.49" "SERERE" "SERERE" "1484" NA "0.25" "MANJAGO" "SERERE" "15169B" NA "0.33" "MZIGUA" "WOLLOF"
"128" "JOLAMALAWI200g80p" "ancient" "1" "1MW(2D)" "0.629" "0.897" "0.998" 0.44 "1623" NA "0.3" "SERERE" "SERERE" "0.47" "SERERE" "SERERE" "1460" NA "0.28" "MANJAGO" "SERERE" "5376B" NA "0.28" "MZIGUA" "MANJAGO"
"142" "JOLAMALAWI400g90p" "ancient" "1" "1D" "0.629" "0.996" "0.997" 0.32 "1600" NA "0.28" "MANJAGO" "SERERE" "0.39" "MANJAGO" "SERERE" "1438" NA "0.28" "MANJAGO" "SERERE" "20195B" NA "0.37" "KAMBE" "MANJAGO"
"140" "JOLAMALAWI400g80p" "ancient" "1" "1D" "0.58" "0.991" "0.997" 0.07 "1587" NA "0.18" "MANJAGO" "SERERE" "0.39" "SERERE" "SERERE" "1731" NA "0.36" "MANJAGO" "SERERE" "1231" NA "0.46" "SERERE" "MANJAGO"
"136" "JOLAMALAWI300g90p" "ancient" "1" "1D" "0.66" "0.992" "0.999" 0.11 "1578" NA "0.25" "MANJAGO" "SERERE" "0.48" "SERERE" "SERERE" "1538" NA "0.34" "MANJAGO" "SERERE" "527" NA "0.41" "SERERE" "SERERE"
"192" "JOLAJUHOAN400g95p" "ancient" "1" "1MW(2D)" "0.65" "0.938" "0.997" 0.54 "1557" NA "0.37" "MANJAGO" "MANJAGO" "0.46" "MANJAGO" "MANJAGO" "1434" NA "0.36" "MANJAGO" "MANJAGO" "15403B" NA "0.09" "XUN" "MANJAGO"
"190" "JOLAJUHOAN400g90p" "ancient" "1" "1MW(2D)" "0.53" "0.656" "0.997" 0.61 "1557" NA "0.33" "MANJAGO" "MANJAGO" "0.37" "MANJAGO" "MANJAGO" "1401" NA "0.27" "MANJAGO" "MANJAGO" "11317B" NA "0.14" "XUN" "MANJAGO"
"132" "JOLAMALAWI200g95p" "ancient" "1" "1D" "0.653" "0.99" "0.999" 0.12 "1539" NA "0.26" "MANJAGO" "SERERE" "0.39" "SERERE" "MANJAGO" "1588" NA "0.34" "MANJAGO" "SERERE" "804" NA "0.48" "MANJAGO" "SERERE"
"130" "JOLAMALAWI200g90p" "ancient" "1" "1D" "0.655" "0.981" "0.998" 0.2 "1519" NA "0.27" "MANJAGO" "SERERE" "0.35" "MANJAGO" "SERERE" "1646" NA "0.36" "MANJAGO" "SERERE" "396" NA "0.47" "SERERE" "SERERE"
"126" "JOLAMALAWI100g95p" "ancient" "1" "1MW(2D)" "0.687" "0.926" "0.997" 0.36 "1443" NA "0.15" "MANJAGO" "SERERE" "0.33" "MANDINKAI" "SERERE" "1651" NA "0.17" "MANJAGO" "SERERE" "626" NA "0.45" "SERERE" "WOLLOF"
