"JOLA" "WOLLOF" "MANDINKAI" "MANDINKAII" "SEREHULE" "FULAI" "MALINKE" "SERERE" "MANJAGO" "FULAII" "BAMBARA" "AKANS" "MOSSI" "YRI" "KASEM" "NAMKAM" "SEMI.BANTU" "BANTU" "LWK" "KAMBE" "CHONYI" "KAUMA" "WASAMBAA" "GIRIAMA" "WABONDEI" "MZIGUA" "MKK" "WOLAYTA" "SOMALI" "ARI" "SUDANESE" "GUMUZ" "OROMO" "AMHARA" "AFAR" "ANUAK" "TYGRAY" "MALAWI" "SEBANTU" "AMAXHOSA" "SWBANTU" "KHWE" "GUIGHANAKGAL" "KARRETJIE" "NAMA" "XUN" "KHOMANI" "JUHOAN" "FIN" "CEU" "GBR" "IBS" "TSI" "GIH" "KHV" "CDX" "CHB" "CHS" "JPT" "PELII"
"SEMI.BANTU" 0 0 0 0 0 0 0 0 0 0.0164959884558927 0.0153134776492072 0.0151160429676801 0 0.43581718737061 0 0 0 0.222636516148659 0.0619730219227349 0 0 0 0.0177334295315963 0 0 0.0543503796274276 0 0 0 0 0 0 0 0 0 0 0 0.127654815395105 0.0125122620906137 0 0.0203968788404734 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BANTU" 0 0 0 0 0 0 0 0 0 0.0117595554992883 0.0138086888617707 0 0 0.133878698467373 0 0 0.460789750895615 0 0.0832885587860461 0.0259355411715384 0 0 0 0 0.0465791140569137 0.0427486954627735 0 0 0 0 0 0 0 0 0 0 0 0.147576446155901 0 0 0.0217762555471369 0.011858695095643 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LWK" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0311878130769637 0 0 0.115891465791523 0.0794717571820644 0 0.0686258763269593 0 0 0.0229054825157922 0 0.124377782088887 0.15987488165634 0.0585053398972583 0.011195555499385 0 0 0.0308701270444006 0 0 0 0 0.11590792863695 0 0.156359216079569 0.0121836118515868 0 0.0126431623523212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KAMBE" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0229020859524703 0 0.18711971443976 0.250320232417441 0.0361505818057432 0.380355208716204 0.0367975582727702 0.0441140095026816 0 0 0 0 0 0 0 0 0 0 0 0.0422406088929301 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHONYI" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.755275351880663 0 0.188809462627408 0.0109112762077101 0 0 0.0265935947969712 0 0 0 0 0 0 0 0 0 0 0 0.0184103144872485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KAUMA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.882065813360419 0.0306519677044099 0 0 0.0872822189351715 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"WASAMBAA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0305774720914388 0 0 0 0 0.870968701628583 0.0867207105052312 0 0 0 0 0 0 0.011733115774747 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GIRIAMA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.705250029110968 0 0.192254401974092 0 0 0.036457953211717 0 0 0 0 0 0 0 0 0 0 0 0 0.0660376157032228 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"WABONDEI" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0125286796394853 0.0226429856310994 0.0363158517716517 0 0 0.5342264755871 0 0 0.280457968826632 0 0 0 0 0 0 0 0 0 0 0 0.100966439836716 0.0128615987073162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MZIGUA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0288480938916967 0.0132512606281171 0.0580465941349761 0.0787419402497053 0 0 0.067730699435954 0 0.488563991579118 0 0 0 0 0 0 0 0 0 0 0 0 0.247020297183742 0.0177971228966908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
