"pop" "a" "bootstrap.num" "date1.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"84" "JOLACEU100g80p" "main" 4 101.2345 0.9800521 0.5185755
"85" "JOLACEU100g80p" "main" 5 100.9219 0.9840703 0.5498256
"86" "JOLACEU100g80p" "main" 1 99.79273 0.981112 0.6439426
"87" "JOLACEU100g80p" "main" 2 103.0416 0.9838144 0.5808669
"88" "JOLACEU100g80p" "main" 3 101.1172 0.9801682 0.6220272
"89" "JOLACEU100g80p" "main" 4 100.5708 0.9830335 0.5437634
"90" "JOLACEU100g80p" "main" 5 101.7436 0.982864 0.5991485
"91" "JOLACEU100g80p" "main" 1 100.4539 0.9817367 0.5392578
"92" "JOLACEU100g80p" "main" 2 107.5089 0.9800555 0.6006364
"93" "JOLACEU100g80p" "main" 3 105.4229 0.9812713 0.5469414
"94" "JOLACEU100g80p" "main" 4 105.4229 0.9810542 0.5859408
"95" "JOLACEU100g80p" "main" 5 100.337 0.9836016 0.6116482
"96" "JOLACEU100g80p" "main" 1 104.0701 0.9813743 0.5607892
"97" "JOLACEU100g80p" "main" 2 105.1038 0.9824072 0.55653
"98" "JOLACEU100g80p" "main" 3 103.16 0.9798375 0.5887922
"99" "JOLACEU100g80p" "main" 4 103.318 0.9801512 0.5751571
"100" "JOLACEU100g80p" "main" 5 98.51562 0.9824875 0.6049467
"101" "JOLACEU100g90p" "main" 1 97.28516 0.9750664 0.6520372
"102" "JOLACEU100g90p" "main" 2 96.2149 0.978698 0.6708419
"103" "JOLACEU100g90p" "main" 3 94.99908 0.9769441 0.6566901
"104" "JOLACEU100g90p" "main" 4 93.56544 0.9745578 0.5825424
"105" "JOLACEU100g90p" "main" 5 97.1319 0.9749808 0.6451024
"106" "JOLACEU100g90p" "main" 1 98.43849 0.9796141 0.6685763
"107" "JOLACEU100g90p" "main" 2 98.05328 0.9746781 0.6615624
"108" "JOLACEU100g90p" "main" 3 99.13379 0.9772908 0.6745828
"109" "JOLACEU100g90p" "main" 4 98.43849 0.9760482 0.6203106
"110" "JOLACEU100g90p" "main" 5 99.28864 0.9768103 0.6338936
"111" "JOLACEU100g90p" "main" 1 93.79108 0.9774837 0.671737
"112" "JOLACEU100g90p" "main" 2 98.82446 0.9803239 0.6334537
"113" "JOLACEU100g90p" "main" 3 96.67285 0.9776704 0.6639644
"114" "JOLACEU100g90p" "main" 4 98.59279 0.9773097 0.5838216
"115" "JOLACEU100g90p" "main" 5 94.92336 0.9779769 0.5653925
"116" "JOLACEU100g90p" "main" 1 103.0416 0.9762005 0.6066074
"117" "JOLACEU100g90p" "main" 2 97.1319 0.9811983 0.6230302
"118" "JOLACEU100g90p" "main" 3 98.28432 0.9804604 0.5946726
"119" "JOLACEU100g90p" "main" 4 92.29205 0.9769929 0.667508
"120" "JOLACEU100g90p" "main" 5 91.10162 0.9771975 0.5971811
"121" "JOLACEU100g90p" "main" 1 95.18854 0.9784224 0.6333408
"122" "JOLACEU100g90p" "main" 2 102.1753 0.9797686 0.6691739
"123" "JOLACEU100g90p" "main" 3 100.2981 0.9769357 0.6137932
"124" "JOLACEU100g90p" "main" 4 96.82574 0.9725681 0.6395005
"125" "JOLACEU100g90p" "main" 5 98.13026 0.9767147 0.6410301
"126" "JOLACEU100g90p" "main" 1 94.62074 0.980021 0.6286582
"127" "JOLACEU100g90p" "main" 2 102.6474 0.9806509 0.6229911
"128" "JOLACEU100g90p" "main" 3 98.74721 0.9784354 0.5986248
"129" "JOLACEU100g90p" "main" 4 93.71584 0.9760871 0.5836417
"130" "JOLACEU100g90p" "main" 5 98.66998 0.9789084 0.5952777
"131" "JOLACEU100g90p" "main" 1 97.20851 0.9761959 0.6218748
"132" "JOLACEU100g90p" "main" 2 99.59869 0.9772478 0.6598769
"133" "JOLACEU100g90p" "main" 3 97.89941 0.9781291 0.6445334
"134" "JOLACEU100g90p" "main" 4 102.2539 0.9748771 0.6681576
"135" "JOLACEU100g90p" "main" 5 96.44374 0.9785362 0.6250117
"136" "JOLACEU100g90p" "main" 1 91.25 0.9782713 0.6115783
"137" "JOLACEU100g90p" "main" 2 99.4436 0.9794147 0.6463136
"138" "JOLACEU100g90p" "main" 3 98.36139 0.9790724 0.5940483
"139" "JOLACEU100g90p" "main" 4 103.0416 0.9765542 0.6565125
"140" "JOLACEU100g90p" "main" 5 94.77199 0.978119 0.6419499
"141" "JOLACEU100g90p" "main" 1 96.52008 0.9763815 0.6163791
"142" "JOLACEU100g90p" "main" 2 101.4693 0.9785873 0.6480343
"143" "JOLACEU100g90p" "main" 3 93.04004 0.9754622 0.6366928
"144" "JOLACEU100g90p" "main" 4 102.5686 0.9749861 0.6089951
"145" "JOLACEU100g90p" "main" 5 99.75391 0.9808264 0.6475029
"146" "JOLACEU100g90p" "main" 1 98.51562 0.9783762 0.6146615
"147" "JOLACEU100g90p" "main" 2 96.67285 0.9762105 0.6954277
"148" "JOLACEU100g90p" "main" 3 100.2981 0.9782637 0.6467243
"149" "JOLACEU100g90p" "main" 4 96.67285 0.9742715 0.6131177
"150" "JOLACEU100g90p" "main" 5 95.07484 0.9768139 0.6081546
"151" "JOLACEU100g90p" "main" 1 101.3127 0.9777194 0.6580742
"152" "JOLACEU100g90p" "main" 2 94.84766 0.9742063 0.6185941
"153" "JOLACEU100g90p" "main" 3 93.71584 0.9751251 0.653301
"154" "JOLACEU100g90p" "main" 4 94.77199 0.9767352 0.6242561
"155" "JOLACEU100g90p" "main" 5 95.98634 0.9757001 0.6315994
"156" "JOLACEU100g90p" "main" 1 97.89941 0.9830853 0.6335196
"157" "JOLACEU100g90p" "main" 2 93.4903 0.9792974 0.6394504
"158" "JOLACEU100g90p" "main" 3 101.2345 0.975143 0.6726003
"159" "JOLACEU100g90p" "main" 4 99.2112 0.9759952 0.6424629
"160" "JOLACEU100g90p" "main" 5 97.59204 0.9811648 0.6135033
"161" "JOLACEU100g90p" "main" 1 97.59204 0.9796493 0.6341983
"162" "JOLACEU100g90p" "main" 2 94.69635 0.9798399 0.5921578
"163" "JOLACEU100g90p" "main" 3 96.97876 0.9772041 0.6746848
"164" "JOLACEU100g90p" "main" 4 98.74721 0.9800825 0.6182215
"165" "JOLACEU100g90p" "main" 5 99.3661 0.9747136 0.5783707
"166" "JOLACEU100g90p" "main" 1 96.97876 0.9775983 0.5999683
"167" "JOLACEU100g90p" "main" 2 96.0625 0.9800048 0.6805696
"168" "JOLACEU100g90p" "main" 3 95.75806 0.9758087 0.6297662
"169" "JOLACEU100g90p" "main" 4 97.20851 0.9780837 0.61883
"170" "JOLACEU100g90p" "main" 5 98.36139 0.9780758 0.6177589
"171" "JOLACEU100g90p" "main" 1 96.67285 0.9791658 0.5681446
"172" "JOLACEU100g90p" "main" 2 96.36743 0.9793807 0.6455762
"173" "JOLACEU100g90p" "main" 3 97.66884 0.9784635 0.6356265
"174" "JOLACEU100g90p" "main" 4 96.90224 0.9777404 0.6415399
"175" "JOLACEU100g90p" "main" 5 96.13869 0.9753068 0.6338829
