"Cluster" "Analysis" "pval" "Result" "max.R1." "FQ1" "FQ2" "maxScore2ev" "date.1D" "Date.CI" "alpha" "best.source1" "best.source2" "alpha2" "best.source1.ev2" "best.source2.ev2" "date.2D.1" "Date2a.CI" "alpha2.date1" "best.source1.date1" "best.source2.date1" "date.2D.2" "Date2b.CI" "alpha2.date2" "best.source1.date2" "best.source2.date2"
"35" "BANTU" "main" "<0.01" "1D" "0.447" "0.995" "0.999" 0.05 "4B" "(1120B-480)" "0.34" "MALAWI" "YRI" NA NA NA NA NA NA NA NA NA NA NA NA NA
"89" "NAMA" "main" "<0.01" "1D(2D)" "0.992" "0.982" "1" 0.7 "1807" "(1795-1853)" "0.3" "SWBANTU" "KHOMANI" NA NA NA NA NA NA NA NA NA NA NA NA NA
"83" "KHWE" "main" "<0.01" "1D" "0.928" "0.981" "0.998" 0.21 "1344" "(1178-1412)" "0.41" "GUIGHANAKGAL" "SEMI.BANTU" NA NA NA NA NA NA NA NA NA NA NA NA NA
"79" "AMAXHOSA" "main" "<0.01" "1D(2D)" "0.986" "1" "1" 0.43 "1233" "(1126-1288)" "0.31" "KARRETJIE" "MALAWI" NA NA NA NA NA NA NA NA NA NA NA NA NA
"77" "SEBANTU" "main" "<0.01" "1D(2D)" "0.986" "1" "1" 0.55 "1158" "(1048-1215)" "0.29" "KARRETJIE" "MALAWI" NA NA NA NA NA NA NA NA NA NA NA NA NA
"81" "SWBANTU" "main" "<0.01" "1D(2D)" "0.851" "0.998" "1" 0.46 "1644" "(1729-1858)" "0.41" "SEMI.BANTU" "NAMA" NA NA NA NA NA NA NA NA NA NA NA NA NA
"93" "KHOMANI" "main" "<0.01" "1D" "0.998" "0.999" "1" 0.18 "1765" "(1752-1793)" "0.13" "CEU" "KARRETJIE" NA NA NA NA NA NA NA NA NA NA NA NA NA
"87" "KARRETJIE" "main" "<0.01" "1D(2D)" "0.998" "0.999" "1" 0.38 "1789" "(1761-1809)" "0.1" "GBR" "GUIGHANAKGAL" NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "OROMO" "main" "<0.01" "1D(2D)" "0.931" "1" "1" 0.61 "350" "(95-538)" "0.28" "TSI" "ARI" NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "AFAR" "main" "<0.01" "1D" "0.935" "1" "1" 0.23 "548" "(29-780)" "0.22" "TSI" "SOMALI" NA NA NA NA NA NA NA NA NA NA NA NA NA
