JOLA WOLLOF MANDINKAI MANDINKAII SEREHULE FULAI MALINKE SERERE MANJAGO FULAII BAMBARA AKANS MOSSI YRI KASEM NAMKAM SEMI.BANTU BANTU LWK KAMBE CHONYI KAUMA WASAMBAA GIRIAMA WABONDEI MZIGUA MKK WOLAYTA SOMALI ARI SUDANESE GUMUZ OROMO AMHARA AFAR ANUAK TYGRAY MALAWI SEBANTU AMAXHOSA SWBANTU KHWE GUIGHANAKGAL KARRETJIE NAMA XUN KHOMANI JUHOAN FIN CEU GBR IBS TSI GIH KHV CDX CHB CHS JPT PELII
JOLACEU100g80p 0 0 0.341348061248518 0 0 0 0 0 0 0.0180211377159891 0 0.0399028424235214 0.0309082342206633 0.0144556481806402 0 0.014335374638369 0.0236159206903757 0.00949538406075583 0.00560740253682619 0.0011531968810131 0.00109331745757261 0.00275226309048182 0 0.0036134092976704 0.0101251750457431 0.00687612505882357 0.00220976838207153 0 0.00491427375998052 0 0.00410432858610326 0.00448334383068701 0 0.00753946256014057 0.00175634528257063 0.0190315116978195 0.0130864740661301 0.00633092146823996 0.00238238623776778 0 0.00217137165564908 0.00139905034271417 0.00129699033076256 0.00208846786279557 0 0.00111124859742937 0.00405841271692641 0.0010368882095815 0.0310432145102939 0 0.181600553315326 0.0755966569454276 0.0711230575380754 0.0138026548267732 0.00513147133392949 0.00139530889338037 0 0.0120508865993556 0.00384221497115527 0.00166513028730328
JOLACEU100g90p 0 0 0.324618441625551 0 0 0 0 0 0 0 0 0.0788514386672626 0.0655954752728464 0.0282442352209994 0 0.0284018214152978 0.0398223686847432 0.0133745111885267 0.00930865579623183 0.011304724207643 0 0.00252388813494572 0 0 0.0118453932900917 0.0107342321079001 0.00282520042277004 0 0.00589762977146937 0 0.00773892360704828 0.00586411180857974 0.0171024119654258 0.00497529410361782 0.00211403772788976 0.0310967759044273 0.00951836206752526 0.0127907000735354 0.0048834129613494 0 0.00284835147225413 0.00240956655921252 0.00189874470391344 0.00244514141652362 0 0.002219144854995 0.00448708505128178 0.00175788055345854 0.0194429523944011 0 0.098593264040633 0.0539895118083786 0.0404689692923216 0.0114704803071925 0.00591054297480608 0.00196681810637784 0 0.0128516215949193 0.00516363785456928 0.00152604382252103
JOLACEU100g95p 0 0 0.385429993079027 0 0 0 0 0 0 0.206766792991588 0 0.0294424582571257 0.0299388601169377 0.00298127382331664 0 0.0126304815590647 0.0297131027985604 0.0122299226838163 0.00811232739063825 0.00357764531734138 0 0.00357925302776357 0 0.00253033319784273 0.00963229217424378 0.00978879865281325 0.00222077663172651 0 0.00555917591323108 0 0.00725597233474714 0.00549335762419385 0.00217900084350176 0.00576734201593036 0.00116655338463256 0.0260602626284262 0.0189899144775358 0.0105104766291477 0.00292976020433657 0 0.00205773370464545 0.00182524535648563 0.00202458307878138 0.0015342351896914 0 0.00172731104823071 0.00425166873291652 0.00160742912724302 0.0111035063139138 0 0.0581946028456921 0.0234755362021451 0.0248230642306145 0.00851254014599788 0.00451894481964728 0.00202296754964878 0 0.0108556376429112 0.00410312577490078 0.00116280906954709
JOLACEU200g80p 0 0 0.394412346776254 0 0 0 0 0 0 0.0598932620032907 0 0.0173711058776392 0.00990460852106953 0.0088125145772232 0 0.00649783661511482 0.0189168058113174 0.00822469390704011 0.00617769979618182 0 0.00134260011522733 0.00420548808150588 0 0.00345013639430786 0.0101462923624797 0.00946093772622166 0.00203488529392789 0 0.00501048862091376 0 0.00406218674654713 0.00431479252131123 0.00550218530586285 0.00632724487039898 0.00139032832676267 0.0172609780701438 0.0175059214104957 0.00571515207283088 0.00225228675284099 0 0.0015623801453322 0.00131406553145048 0.00150973169517819 0.00221176706852765 0.00152912043256195 0.00162003711191505 0.00400257218095591 0.00128963449112855 0.0263829881545151 0 0.141847985912197 0.0665536543490213 0.0686289256633358 0.0177325329981878 0.00748417661263467 0.00218447501474908 0 0.0162413847996197 0.00562057235363346 0.0020912169281465
JOLACEU200g90p 0 0 0.512168303561088 0 0 0.112578861044454 0 0 0 0 0 0.0175517431536516 0 0.0130583556129327 0.00389496604854134 0.00112275989923125 0.0191436722210531 0.00878001187088367 0.00632030245111399 0.00441657408055681 0 0.003274135953867 0 0.00205512936248709 0.00903749574947407 0.00782085862723206 0.0018438553080206 0 0.00448020243860745 0 0.00583157187272191 0.00467388016946448 0.00109779464691108 0.00856117627944784 0.00112917548861091 0.0162397773920109 0.0118856275791849 0.00912604135442254 0 0.00115193010801591 0.00197835541214504 0.00130451068953337 0.00169062543608482 0.00224649856119696 0 0.00177907473042506 0.00480163739208701 0.00164908729666618 0.0156899436530558 0 0.0811786865478041 0.0234042754847742 0.0389771707529278 0.0121351771185638 0.00554871696303513 0.00161533253713272 0 0.0121312564741017 0.00435651852542063 0.00157715853051114
JOLACEU200g95p 0 0 0.363742401652194 0 0 0.197022457159951 0 0 0 0 0 0.0492093876966676 0.030304354312501 0.0154200776726837 0.0159863754938848 0 0.0371054879688904 0.0132173562403442 0.00929868323386122 0.00142994846392504 0.00204821956768733 0.00472768046344393 0.00114539800070656 0.00401955002697752 0.0116327433706764 0.0102860152280353 0.00257520816541209 0 0.00482523040809442 0 0.00809511501968529 0.00631794038952443 0.0130209097866862 0.00329540775656654 0.00121419723568694 0.0272320934478206 0.012682913424628 0.0137469409467214 0.00485376880307247 0 0.00158001040928463 0.00212302811592207 0.00246928943588925 0.0024714413399254 0.00135210063453421 0.00219389735062076 0.0034859154632161 0.00201827829447302 0.00925453961780172 0 0.0453902103546399 0.0056486179779091 0.0216844232691039 0.0100882412885037 0.00571872091435667 0.0018592942613499 0 0.0125997296817473 0.00423941791599252 0.00136698173840109
JOLACEU300g80p 0 0 0.432446243395322 0 0 0.0632438526277253 0 0 0 0 0 0.0164340032402463 0 0.0123810352369477 0.00309942191678995 0 0.0191780380779172 0.00659376073406244 0.00632832579449551 0.00458842874893115 0.00100597079190245 0.00354987566177279 0 0.00118736389230676 0.0106242909857726 0.0081106123075282 0.00241201169770598 0 0.00454481373673504 0 0.00478859123051787 0.00462663351182534 0.0134094625562794 0.00481705391335638 0.00167466007464234 0.0149495545667816 0.0142564120692979 0.00822678748279639 0 0.00117120073759557 0.00229428348525911 0.0016967638604644 0.00177522907576692 0.00251813038900063 0 0.00171424045282089 0.00521533886082707 0.00177780309507421 0.0236537981585008 0 0.113900106917751 0.0502226502909967 0.0706841352533991 0.0210847091150429 0.00857550335695848 0.00298695937441558 0 0.0183030632884377 0.00714186977362531 0.00240167936403749
JOLACEU300g90p 0 0 0.597042287376989 0 0 0 0 0 0 0 0 0.0204421189038805 0 0.0185699561645474 0.00293982941083717 0 0.0175626928773254 0.0110547459859875 0.00732029991761792 0.00188754670573639 0.00167438490494244 0.00395618518656154 0 0.00368080802721337 0.012216627759352 0.0102030384727258 0.00249650322875492 0 0.00444214479368356 0 0.00572204233446878 0.00546989742732773 0.0152567619619935 0.00459405760224855 0.00149272521075616 0.016451825580866 0.0122123246186767 0.00742550300357457 0.00253985854140376 0 0.00243930070110856 0.00186577410104075 0.0022594473651359 0.00310547534988348 0 0.00208248611355775 0.00437713635814641 0.00201549662819539 0.0141958842106263 0 0.0635114311167994 0.0318528390813918 0.0381545611259081 0.0145757236924015 0.00720042937072134 0.00231507504925839 0 0.0151414450639068 0.00582664571064058 0.00165865293255146
JOLACEU300g95p 0 0 0.468811027553764 0 0 0.158019056429049 0 0.0607368128873694 0 0 0 0.017643254768558 0 0.0102626125897933 0.00497663767200969 0 0.022880738261816 0.0110508069408255 0.00764719023623665 0.00552558008369152 0.00113577999408144 0.00380454993933365 0 0.00198642000883609 0.0100295660135315 0.0118903807319025 0.00200565304909115 0 0.00407236207209106 0 0.00688878445390848 0.0056637279617688 0.0156563527279491 0.00192308464117202 0 0.0200020598681845 0.00985651614409513 0.00899690539660374 0.00356358686226858 0 0.00222638735689432 0.00193306985923669 0.00247514599311604 0.00236600663568822 0 0.00244972106192612 0.00455220777256482 0.00231484491841904 0.00826951063890588 0 0.0373326382190854 0 0.0221153689971615 0.0109649516646879 0.00598614163198486 0.00204387494370196 0 0.0126315179697589 0.0048082849438592 0.0011918533565261
JOLACEU400g80p 0 0 0.466007575999579 0 0 0 0 0 0 0 0 0.0196576232422383 0 0.0211448378384642 0.00162382028960166 0.00248065527357836 0.0179733254753317 0.00925212748016949 0.00846552054626837 0.00305690098309368 0.00149986007425219 0.00427305492131233 0 0.0032224594331284 0.0108594808723891 0.010536271759752 0.00297105178709391 0.00211204542011154 0.00497419531365658 0 0.00547798886925602 0.00547803706683934 0.0235292008636908 0.0023062739747692 0.00177044472449628 0.0159483078328368 0.0150683913375851 0.00752729880012559 0.00214525976415775 0 0.0020747659023543 0.00200554111746386 0.0021412830612353 0.00305482500338679 0.00191962281234367 0.00212849045032024 0.00508276013001716 0.00225078727287037 0.0220280621829869 0 0.0944352609386904 0.0529963708043156 0.0689858084983234 0.0235020278728957 0.0111121504976742 0.00315638138448403 0 0.0224488063154608 0.00852035988596639 0.00279468592543345
