"result" "gen.1date" "proportion.source1" "maxR2fit.1date" "fit.quality.1event" "fit.quality.2events" "bestmatch.event1.source1" "bestmatch.event1.source2" "proportion.event2.source1" "bestmatch.event2.source1" "bestmatch.event2.source2" "gen.2dates.date1" "gen.2dates.date2" "maxScore.2events" "proportion.date1.source1" "bestmatch.date1.source1" "bestmatch.date1.source2" "proportion.date2.source1" "bestmatch.date2.source1" "bestmatch.date2.source2" "JOLA" "WOLLOF" "MANDINKAI" "MANDINKAII" "SEREHULE" "FULAI" "MALINKE" "SERERE" "MANJAGO" "FULAII" "BAMBARA" "AKANS" "MOSSI" "YRI" "KASEM" "NAMKAM" "SEMI.BANTU" "BANTU" "LWK" "KAMBE" "CHONYI" "KAUMA" "WASAMBAA" "GIRIAMA" "WABONDEI" "MZIGUA" "MKK" "SUDANESE" "GUMUZ" "ANUAK" "AFAR" "OROMO" "SOMALI" "WOLAYTA" "ARI" "AMHARA" "TYGRAY" "MALAWI" "SEBANTU" "AMAXHOSA" "SWBANTU" "KHWE" "GUIGHANAKGAL" "KARRETJIE" "NAMA" "XUN" "KHOMANI" "JUHOAN" "FIN" "CEU" "GBR" "IBS" "TSI" "GIH" "KHV" "CDX" "CHB" "CHS" "JPT" "PELII"
"JOLA.null.3" "one-date" "131.81640625" "0.11" "0.651809013814698" "0.999815873007539" "0.999964107732678" "GBR" "SERERE" "0.47" "MANDINKAI" "FULAII" "2.5606694817543" "151.625282526016" "0.0384888549077129" "0.37" "SERERE" "WOLLOF" "0.09" "GBR" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.0844652610862701" "0.279373216225622" "0" "0" "0.125882637711885" "0.0770326600845259" "0.0855702116643831" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.00730910969262616" "0.0131433786875873" "0.176555768880662" "0" "0" "0.0209202310420623" "0" "0.00147652724360548" "0" "0" "0.0607075143933623" "0" "0" "0" "0" "0.0021958211670241" "0" "0" "0" "0" "0.0128177515368434" "0" "0" "0" "0.00831259622733547" "0" "0.00607823018530307" "0.00523508349810363" "0.00275423492031149" "0" "0.0130887540810111" "0.00474996017025577" "0.0123310515012205"
"JOLA.null.4" "one-date" "131.81640625" "0.11" "0.651809013814698" "0.999815873007539" "0.999964107732678" "GBR" "SERERE" "0.47" "MANDINKAI" "FULAII" "2.5606694817543" "151.625282526016" "0.0384888549077129" "0.37" "SERERE" "WOLLOF" "0.09" "GBR" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.350843359429588" "0.274940297531614" "0.0604414990342413" "0.0481468097518668" "0.024145966261017" "0.0406145643373745" "0" "0.0197400989676869" "0" "0.0149719478313207" "0.00524479963783785" "0" "0.0199935177094297" "0" "0" "0.0242212359359399" "0.00118772761222312" "0.00241113281576714" "0" "0.00524275064821508" "0" "0.000176881405803349" "0" "0.00647912285642534" "0.0313370808096122" "0.0233777895289324" "0" "0" "0" "0" "0.00547679507211607" "0" "0" "0" "0.0135304365364617" "0.00703696299426075" "0" "0" "0" "0" "0.0204392232922668" "0" "0" "0" "0" "0" "0" "0" "0"
"JOLA.null.5" "one-date" "131.81640625" "0.11" "0.651809013814698" "0.999815873007539" "0.999964107732678" "GBR" "SERERE" "0.47" "MANDINKAI" "FULAII" "2.5606694817543" "151.625282526016" "0.0384888549077129" "0.37" "SERERE" "WOLLOF" "0.09" "GBR" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.233760114015703" "0.238637781623075" "0.116749645584002" "0.0981283450194828" "0" "0" "0.0572245194534902" "0.0618224037686898" "0" "0.0236674350320013" "0" "0" "0.00894357620445095" "0" "0" "0.00546213861106699" "0.0618472862498687" "0.00513007927916571" "0.0125033861125917" "0" "0" "0.0247688637755156" "0" "0.00464860562617897" "0" "0" "0" "0" "0" "0" "0.010145874317231" "0" "0.00422209823578667" "0.0173799583051424" "0.00130571573610599" "0" "0.0083158035484899" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.00533636950196094"
"JOLA.null.6" "one-date" "131.81640625" "0.11" "0.651809013814698" "0.999815873007539" "0.999964107732678" "GBR" "SERERE" "0.47" "MANDINKAI" "FULAII" "2.5606694817543" "151.625282526016" "0.0384888549077129" "0.37" "SERERE" "WOLLOF" "0.09" "GBR" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.208874555594894" "0.297237566322133" "0" "0.0945797481655906" "0" "0.116017211740972" "0" "0" "0" "0" "0" "0.00551576611953506" "0" "0" "0" "0.00345156370639207" "1.04190434675175e-05" "0.0121765857845762" "0.074004435033655" "0.00468971287403829" "0" "0.0020068968801552" "0" "0.00521134517155863" "0.0298605478997626" "0.0257107270149263" "0.0557567035025035" "0" "0" "0" "0" "0.00875888157607636" "0" "0" "0" "0" "0" "0" "0" "0" "0.0299012000226861" "0" "0.00550309595236183" "0.00433065012788121" "0.0019634745991675" "0" "0.0107611487736997" "0.00367776409396745" "0"
"JOLA.null.7" "one-date" "131.81640625" "0.11" "0.651809013814698" "0.999815873007539" "0.999964107732678" "GBR" "SERERE" "0.47" "MANDINKAI" "FULAII" "2.5606694817543" "151.625282526016" "0.0384888549077129" "0.37" "SERERE" "WOLLOF" "0.09" "GBR" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.186888510591795" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.0868605698658088" "0" "0.726250919542396" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"JOLA.null.8" "one-date" "131.81640625" "0.11" "0.651809013814698" "0.999815873007539" "0.999964107732678" "GBR" "SERERE" "0.47" "MANDINKAI" "FULAII" "2.5606694817543" "151.625282526016" "0.0384888549077129" "0.37" "SERERE" "WOLLOF" "0.09" "GBR" "SERERE" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.215489014436448" "0.266860589812649" "0.0598346229890153" "0.0875188118117949" "0" "0.0888028139238738" "0.0272347884482519" "0.0132665387573488" "0" "0.000889979153656389" "0.00616044109852018" "0.00530676228968089" "0.00138045982605433" "0" "0" "0.00851811341944739" "0.0290259719609152" "0.0209316279347075" "0.080251318481781" "0" "0" "0.0113913682471925" "0" "0.0122174581401579" "0" "0" "0.0346133461089545" "0" "0" "0" "0.00586049674629907" "0.0140855898877224" "0" "0" "0.00486992252473706" "0" "0.00548996400079274" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"WOLLOF.main.1" "multiple-dates" "23.8894743959018" "0.13" "0.938492160938017" "0.999957380707326" "0.9999982242773" "GBR" "JOLA" "0.4" "MALINKE" "JOLA" "10.4864574767162" "75.3653651945145" "0.63394774999035" "0.19" "FULAI" "JOLA" "0.09" "GBR" "JOLA" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.42236907198386" "0" "0.016019446316615" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.0329816879247727" "0" "0.528629793774752" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"WOLLOF.main.2" "multiple-dates" "23.8894743959018" "0.13" "0.938492160938017" "0.999957380707326" "0.9999982242773" "GBR" "JOLA" "0.4" "MALINKE" "JOLA" "10.4864574767162" "75.3653651945145" "0.63394774999035" "0.19" "FULAI" "JOLA" "0.09" "GBR" "JOLA" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.201164346790649" "0.227555896825891" "0.0946629317111944" "0.0709189967397062" "0.0462987757014685" "0.0705542374452798" "0.0268979059917702" "0.0160875960420994" "0" "0.00170639681929377" "0.00568042300272129" "0.00798844008077684" "0.00501387438963795" "0" "0.00768977005716986" "0.0106972119887706" "0.0265754666705766" "0.0170802681667109" "0.0651956328948977" "0" "0" "0.0147609468928774" "0" "0.00984182933428431" "0" "0" "0.0252407027790801" "0" "0.00718137686239296" "0" "0.00907863381243066" "0.0128916789212265" "0" "0" "0.00446100707911826" "0" "0.0051031426432022" "0" "0" "0" "0" "0" "0" "0" "0.00666756184695722" "0" "0" "0.00300494850981655" "0"
"WOLLOF.main.3" "multiple-dates" "23.8894743959018" "0.13" "0.938492160938017" "0.999957380707326" "0.9999982242773" "GBR" "JOLA" "0.4" "MALINKE" "JOLA" "10.4864574767162" "75.3653651945145" "0.63394774999035" "0.19" "FULAI" "JOLA" "0.09" "GBR" "JOLA" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.229946167346441" "0.298034050200381" "0.134130003275059" "0" "0.119007370312864" "0" "0.0183792640899883" "0" "0" "0.0245430649298661" "0.00314415619139389" "0.00869055032190217" "0.00567338876405269" "0" "0" "0.00496468577811856" "0.0221251205579695" "0.000458200602668164" "0.0253432753284989" "0.0053080705378244" "0" "0" "0" "0" "0.0109090275252561" "0.0316928623176923" "0" "0" "0" "0" "0.00424239249414421" "0" "0" "0" "0.000599658513027633" "0.00343858845207214" "0" "0" "0" "0" "0.0339814607541301" "0" "0.0073899036080141" "0.00179459143796701" "0" "0" "0.00501915489273945" "0" "0.00118499176793058"
"WOLLOF.main.4" "multiple-dates" "23.8894743959018" "0.13" "0.938492160938017" "0.999957380707326" "0.9999982242773" "GBR" "JOLA" "0.4" "MALINKE" "JOLA" "10.4864574767162" "75.3653651945145" "0.63394774999035" "0.19" "FULAI" "JOLA" "0.09" "GBR" "JOLA" "0" "0" "0" "0" "0" "0.101513639985771" "0" "0" "0" "0" "0" "0.168406450023241" "0.25200592478943" "0" "0.0251109712574517" "0.052776647000348" "0.110215176097962" "0.0213631848063795" "0.0169504609257223" "0" "0" "0" "0" "0" "0" "0" "0.00464658684390605" "0.0134871676845035" "0.0113312291605664" "0.0698846317652819" "0" "0.0327779779972563" "0.0143789666105913" "0" "0.00701071665277741" "0" "0.00482467777384654" "0.0453195597048239" "0" "0.0104476312750997" "0.00422415851129856" "0" "0.000691026244236435" "0.0013188977572918" "0" "0" "0" "0.00541103758563396" "0" "0" "0" "0.0107929660761847" "0" "0" "0.00311649076244441" "0.00195371475351595" "0" "0.00602373707168687" "0.00401637088274865" "0"
